datetime,value,site_id,parameter
2017-09-09 16:00:00-05:00,4.22,08177500,00060
2017-09-09 17:00:00-05:00,4.21,08177500,00060
2017-09-09 18:00:00-05:00,4.21,08177500,00060
2017-09-09 19:00:00-05:00,4.21,08177500,00060
2017-09-09 20:00:00-05:00,4.21,08177500,00060
2017-09-09 21:00:00-05:00,4.21,08177500,00060
2017-09-09 22:00:00-05:00,4.21,08177500,00060
2017-09-09 23:00:00-05:00,4.21,08177500,00060
2017-09-10 00:00:00-05:00,4.21,08177500,00060
2017-09-10 01:00:00-05:00,4.21,08177500,00060
2017-09-10 02:00:00-05:00,4.21,08177500,00060
2017-09-10 03:00:00-05:00,4.21,08177500,00060
2017-09-10 04:00:00-05:00,4.2,08177500,00060
2017-09-10 05:00:00-05:00,4.2,08177500,00060
2017-09-10 06:00:00-05:00,4.2,08177500,00060
2017-09-10 07:00:00-05:00,4.2,08177500,00060
2017-09-10 08:00:00-05:00,4.2,08177500,00060
2017-09-10 09:00:00-05:00,4.2,08177500,00060
2017-09-10 10:00:00-05:00,4.2,08177500,00060
2017-09-10 11:00:00-05:00,4.2,08177500,00060
2017-09-10 12:00:00-05:00,4.2,08177500,00060
2017-09-10 13:00:00-05:00,4.2,08177500,00060
2017-09-10 14:00:00-05:00,4.2,08177500,00060
2017-09-10 15:00:00-05:00,4.19,08177500,00060
2017-09-10 16:00:00-05:00,4.19,08177500,00060
2017-09-10 17:00:00-05:00,4.19,08177500,00060
2017-09-10 18:00:00-05:00,4.19,08177500,00060
2017-09-10 19:00:00-05:00,4.19,08177500,00060
2017-09-10 20:00:00-05:00,4.19,08177500,00060
2017-09-10 21:00:00-05:00,4.19,08177500,00060
2017-09-10 22:00:00-05:00,4.19,08177500,00060
2017-09-10 23:00:00-05:00,4.19,08177500,00060
